4,AER article
13,ratios
15,p_x
16,p_y
149,outcome
8,disagreement
149,outcome
23,units of x
47,Player 1
173,buy
174,don't buy
173,buy
174,don't buy
24,type 1 agents
233,The relevant tags for this question are: free-entry equilibrium
391,unknowns
244,"contestable monopoly.

The tags sorted from better to worst are: free-entry equilibrium"
289,"are:

First Welfare Theorem"
329,a
330,b
331,industry with 8 firms
332,industry with 9 firms
333,62% greater
370,students
374,bribing professors
326,N
300,player 1
301,player 2
495,x_bar
496,p_x/p_y
523,situation A
524,situation B
48,Player 2
676,U
681,p_1
682,p_2
569,tags: firms
677,ln
317,turn 1
808,tags: betting market
819,tags: pirate
889,country A
890,country B
1001,War) payoff
1002,P(War)
1064,tags: Landsburg
1108,high K
1109,low K
1110,medium K
1118,q
1150,period 1 consumption
1151,period 2 consumption
1266,player 3
1119,Q
1120,P
1369,X
1370,Y
1373,pX
1374,pY
1429,0-1 scale
1463,5-turn game
1612,sqrt(K)
1678,type 2 agents
1476,L
1477,R
1731,q1
1732,q2
1679,x
1000,(War
1830,War) payoffs
1865,unit of x
1866,unit of y
1680,y
2186,c1
2187,c2
2188,U1
2189,U2
2431,c1=c2
2436,N/(N+1)
2437,c=0.5
2557,"are:

The Armchair Economist"
2933,"are as follows:

politicians"
3168,Q*
