id,tag
2,minimum wage
6,Bayes' Law
7,prior probability
9,friend's estimate
91,correlation
69,Bertrand competition
75,rent-seeking
34,complete information
37,subgame perfect equilibrium
39,tied payoffs
42,weakly dominant strategy
43,subgame perfection equilibrium
114,coordination game
45,bargaining power
46,irrevocable offer
49,minimum acceptable offer
50,allocation
28,game theory
52,sequential game.
40,Ultimatum Game
3,unemployment
93,prices
59,expected payoff
61,sustain cooperation
63,stable cartel
64,monopoly level
66,incentive to cheat
71,defecting firm
72,costless entry
73,costless exit
74,lobbying industry
77,repeated interaction
78,entry barriers
79,exit barriers
38,mixed strategy Nash equilibrium
83,democratic governments
84,monopoly protection
87,lobbying ability
89,lobbying inefficiency
96,market prices
97,social optimality
99,efficient outcome
101,socially suboptimal outcomes
102,socially optimal outcomes
103,graduate economics programs
104,University of Chicago
105,study group
106,failure rate
107,funding conditionality
108,Chicago culture
166,cost
111,competing hypotheses
112,model
115,study group participation
29,normal form
117,temptation payoff
120,join group
121,form group
98,First Welfare Theorem
124,intertemporal trade
126,two-good framework
131,equilibrium equation
176,time
20,income
155,defection
62,cartel
143,strict dominance
145,recipient
146,accepting
147,rejecting
165,reputation
11,agents
14,equation
25,spending
163,investigation
184,one-shot Bertrand game
171,investigate
164,cheating
175,swindle
197,externalities
185,one-shot Cournot game
186,heterogeneous costs
65,profits
160,player
189,lowest-cost producer
190,market takeover
191,productively inefficient firms
192,significant cost gap
195,childbearing decisions
196,individual decisions
136,two periods
200,negative externalities
5,probability
127,consumption goods
95,rationality
35,perfect information
137,consumption good
118,cooperation
132,period 1
179,infinitely repeated game
144,weak dominance
133,period 2
86,productive efficiency
80,rate of return
157,subgame perfect Nash equilibrium
151,economics
85,firms
198,selfishness
194,Prisoners' Dilemma
1,microeconomics
152,equilibrium
36,Nash equilibrium
68,trigger strategies
41,simultaneous game
170,cheat
21,consumption
70,Cournot competition
88,allocative efficiency
139,types of agents
92,Landsburg
90,productive inefficiency
76,social cost
82,Kaldor-Hicks efficiency
130,U function
199,positive externalities
55,players
182,discount factor
60,critical value
119,equilibria
113,Prisoner's Dilemma
129,types
31,payoff
30,simultaneous decision
26,explanation
138,endowment
12,utility function
204,predation
206,theoretical explanation
207,widely-accepted view
209,foreign competition
210,labor markets
211,downwardly rigid wages
213,jobs
216,free-entry equilibrium
388,maximization problem
227,realistic prediction
228,homogenous good
389,first-order conditions
390,system of equations
393,public goods problem
354,efficiency
218,Cournot game
237,break out
277,guns
241,announcement
350,allocative inefficiency
243,oligopoly
255,contestable monopoly.
256,long-term friendship
259,Dutch treat
260,payment methods
261,joint restaurant meals
262,convention
263,learned behavior
271,positive externality
275,research and development
284,ownership
298,probability mix
